"COUNTRY_STATE","ADMIN_2","REGION","CATEGORY","MEASURE","TARGETED_POP_GROUP","COMMENTS","NON_COMPLIANCE","DATE_IMPLEMENTED","SOURCE","SOURCE_TYPE","LINK","ENTRY_DATE","ISO3166_1","LAST_UPDATED_DATE"
"Bulgaria","","","Lockdown","Partial lockdown","Yes","School closures for one week starting Monday.
Kindergartens, however, continue to operate.
Closing of public places - galleries, cinemas, halls, all kinds of clubs (for children, pensioners, entertainment).
Expanding the activities of social patronage with the possibility of delivering medicines and foodstuffs to the homes of elderly people.
Closing of all periodic and temporary markets (Dolni Bogrov, Malashevtsi, etc.).
Maximize the opportunities for remote work.
Provision and organization of an awareness campaign and additional disinfection in Roma neighbourhoods.
Extension of enhanced measures for disinfection of all spaces and institutions.
Suspension of night public transport.It is planned that the evening and drinking establishments will be closed for two weeks, but the restaurants and fast food establishments will continue to work. NON COMPLIANCE: Offenders will face ""sanctions""","Other (add in comments)","2020-03-13 00:00:00.000000","Bulgarian Ntnl. Television","Media","https://www.bnt.bg/en/a/measures-and-restrictions-after-the-introduction-of-state-of-emergency","2020-03-25 00:00:00.000000","BG","2020-04-27 00:40:26.851057"
"Bulgaria","","","Social distancing","Public services closure ","No","Visiting patients in hospitals will not be allowed.","Not applicable","2020-03-13 00:00:00.000000","Bulgarian Ntnl. Television","Media","https://www.bnt.bg/en/a/bulgarias-health-minister-issues-tougher-measures-against-covid-19-spread","2020-03-25 00:00:00.000000","BG","2020-04-27 00:40:26.851057"
"Bulgaria","","","Governance and socio-economic measures","Emergency administrative structures activated or established","Yes","because of the declared state of emergency in the country, a team is established with the Prosecutor’s office, which will be led by the Chief Prosecutor and will ensure compliance with the imposed rules and measures.

The Prosecutor’s office will require from the health ministry, the foreign affairs ministry and the ministry of interior to present reports on the up-to-date situation in the country on a daily basis.","Not applicable","2020-03-13 00:00:00.000000","Bulgarian Ntnl. Television","Media","https://www.bnt.bg/en/a/law-changes-impose-imprisonment-and-fines-for-quarantine-violations","2020-03-25 00:00:00.000000","BG","2020-04-27 00:40:26.851057"
"Bulgaria","","","Public health measures","Introduction of isolation and quarantine policies","Yes","3 years of imprisonment and a fine from 1,000 to 10,000 BGN for anyone who violates ordinances, rules and regulations or measures against the spread of infectious disease and quarantine.

Should such an act be committed during an epidemic, pandemic or declared state of emergency is related to deaths from disease, the draft amendments provides for 5 years of imprisonment and a fine of 10,000 to 50,000 BGN.","Arrest/detention","2020-03-13 00:00:00.000000","Bulgarian Ntnl. Television","Media","https://www.bnt.bg/en/a/law-changes-impose-imprisonment-and-fines-for-quarantine-violations","2020-03-25 00:00:00.000000","BG","2020-04-27 00:40:26.851057"
"Bulgaria","","","Movement restrictions","Border closure ","Yes","banned the entry of third-country (non-EU) nationals, including U.S. citizens, into the country from March 20 to April 17.  This includes all third-country nationals at all border crossing points and includes aviation, maritime, rail, and road.  The ban does not apply to: (1) healthcare professionals, health researchers and elderly care professionals; (2) transport personnel engaged in the carriage of goods, crews of aircraft engaged in commercial air transport and other transport personnel as necessary; (3) diplomats, officials of international organizations, military personnel and humanitarian workers in the performance of their duties; (4) persons traveling for humanitarian reasons; (5) third-country nationals who hold a long-term residence permit in an EU Member State and those transiting Bulgaria to return to their country of residence. The Bulgarian government has also banned entry of persons arriving from the following EU Member States and Schengen countries: Italy, Spain, France, Great Britain, Germany, the Netherlands, and Switzerland.  These restrictions do not apply to Bulgarian citizens and their family members, or persons with permanent or long term residence permits and members of their families.","Refusal to enter the country","","US Embassy","Government","https://bg.usembassy.gov/novel-coronavirus-covid-19-information/","2020-03-25 00:00:00.000000","BG","2020-04-27 00:40:26.851057"
"Bulgaria","","","Public health measures","Strengthening the public health system","No","receive testing kits","Not applicable","2020-01-31 00:00:00.000000","Bulgarian Ntnl. Television","Media","https://www.bnt.bg/en/a/the-bulgarians-arriving-from-wuhan-will-be-placed-under-quarantine","2020-03-25 00:00:00.000000","BG","2020-04-27 00:40:26.851057"
"Bulgaria","","","Governance and socio-economic measures","Emergency administrative structures activated or established","No","Bulgaria’s Prime Minister Boyko Borissov convenes extraordinary meeting of the Council of Ministers with the coronavirus task force members.","Not applicable","2020-03-12 00:00:00.000000","Bulgarian Ntnl. Television","Media","https://www.bnt.bg/en/a/bulgarias-pm-convenes-extraordinary-meeting-at-10-pm-over-coronavirus-situation","2020-03-25 00:00:00.000000","BG","2020-04-27 00:40:26.851057"
"Bulgaria","","","Social distancing","Schools closure ","No","The classes in schools and kindergartens should not be interrupted even in the areas with coronavirus cases, but strict disinfection and measures should be appllied.

Students will be instructed daily about personal hygiene. Children and teachers with flu-like symptoms will not be admitted.

If a coronavirus case is detected in an educational establishment, it will be closed. Student excursions are prohibited.","Not applicable","2020-03-11 00:00:00.000000","Bulgarian Ntnl. Television","Media","https://www.bnt.bg/en/a/schools-to-introduce-new-measures-to-fight-coronavirus-spread","2020-03-25 00:00:00.000000","BG","2020-04-27 00:40:26.851057"
"Bulgaria","","","Movement restrictions","International flights suspension","Yes","Restriction of travel to high-risk countries (Iran - Risk Level 5 (Warning to Suspend All Travels and Immediate Leaving the Country); Republic of Korea - Level 4 (Countrywide Waiver Warning (Except Where Needed), Spain - Risk Level 4, France - Risk Level 3 (Recommendation not to travel to certain areas of the country except where necessary), Germany - Risk Level 3, Japan - Risk Level 3 Switzerland - Risk Level 2 (Caution - read about the act in detail Norway - Risk Level 2, Denmark - Risk Level 2, Sweden - Risk Level 2, Netherlands - Risk Level 2, USA - Risk Level 2. Risk levels remain when traveling to China - Level 5, Italy - Level 4).","Not applicable","2020-03-13 00:00:00.000000","Bulgarian Ntnl. Television","Media","","2020-03-25 00:00:00.000000","BG","2020-04-27 00:40:26.851057"
"Bulgaria","","","Movement restrictions","Border closure ","Yes","Bulgaria temporary bans the entry on its territory of citizens from high risk countries with coronavirus outbreaks, including China, Iran, Bangladesh, india, Maldives, Nepal, Sri Lanka, Spain, Italy, Korea, France, Germany, the Netherlands, Switzerland, Great Britain and Northern Ireland. The ban is in place as of 00:00 on March 18.

Exceptions will be made for people who have permanent or long term residence permits and members of their families.","Refusal to enter the country","2020-03-18 00:00:00.000000","Bulgarian Ntnl. Television","Media","https://www.bnt.bg/en/a/bulgaria-bans-entry-to-citizens-from-countries-with-high-rates-of-coronavirus","2020-03-25 00:00:00.000000","BG","2020-04-27 00:40:26.851057"
