dateId,deaths,normalBaseline
2020-01-01,57872.21310539870,57204
2020-01-02,57872.21310539870,57204
2020-01-03,57872.21310539870,57204
2020-01-04,57946.94399936160,57204
2020-01-05,58031.639012519400,57204
2020-01-06,58350.49082676080,57204
2020-01-07,58522.371882875200,57204
2020-01-08,59045.48814061500,57424
2020-01-09,59374.30407405140,57424
2020-01-10,59695.64691809150,57424
2020-01-11,59964.67813635760,57424
2020-01-12,59919.83959997990,57424
2020-01-13,59740.48545446920,57424
2020-01-14,59553.65821956210,57424
2020-01-15,59374.30407405140,57576
2020-01-16,59209.89610733320,57576
2020-01-17,59045.48814061500,57576
2020-01-18,58881.08017389680,57576
2020-01-19,58447.64098891240,57576
2020-01-20,58485.00643589380,57576
2020-01-21,58281.98750729490,57576
2020-01-22,58249.60411991100,57658
2020-01-23,58133.7712342686,57658
2020-01-24,58017.93834862620,57658
2020-01-25,57909.578552380100,57658
2020-01-26,58014.20180392810,57658
2020-01-27,58024.16592312310,57658
2020-01-28,58167.40013655190,57658
2020-01-29,58313.125379779400,57668
2020-01-30,58372.91009494960,57668
2020-01-31,58476.28783159820,57668
2020-02-01,58604.57586623430,57668
2020-02-02,58480.771685235900,57668
2020-02-03,58234.6579411184,57668
2020-02-04,58029.14798272070,57026
2020-02-05,57834.847658417300,57026
2020-02-06,57573.28952954750,57026
2020-02-07,57401.40847343300,57026
2020-02-08,57192.16197033710,57026
2020-02-09,57052.664301606500,57026
2020-02-10,56964.2327437505,57026
2020-02-11,56941.813475561700,56776
2020-02-12,56964.2327437505,56776
2020-02-13,56941.813475561700,56776
2020-02-14,56975.44237784490,56776
2020-02-15,56895.72942428460,56776
2020-02-16,56677.76431689300,56776
2020-02-17,56377.59522614240,56776
2020-02-18,56081.162680089900,54551
2020-02-19,55752.19105729110,54551
2020-02-20,55123.610825446300,54551
2020-02-21,54853.0849893009,54551
2020-02-22,54591.52686043100,54551
2020-02-23,54464.484340694200,54551
2020-02-24,54606.4730392236,54551
2020-02-25,54726.04246956410,55370
2020-02-26,54793.30027413070,55370
2020-02-27,54849.34844460280,55370
2020-02-28,54935.288972660000,55370
2020-02-29,55092.22384998190,55370
2020-03-01,55223.48646726010,55370
2020-03-02,55227.56980238120,55370
2020-03-03,55181.900922737300,55668
2020-03-04,55209.302250523700,55668
2020-03-05,55607.86701832540,55668
2020-03-06,55518.189945570000,55668
2020-03-07,55559.29193724950,55668
2020-03-08,55460.12978949120,55668
2020-03-09,55274.38040401630,55668
2020-03-10,55988.99457753570,56311
2020-03-11,56116.03709727250,56311
2020-03-12,56250.55270640560,56311
2020-03-13,56400.014494331200,56311
2020-03-14,56474.745388294000,56311
2020-03-15,57207.10814912970,56311
2020-03-16,58171.136681250000,56311
2020-03-17,59038.01505121870,55891
2020-03-18,59919.83959997990,55891
2020-03-19,60779.24488055230,55891
2020-03-20,61653.596339917300,55891
2020-03-21,62520.47470988600,55891
2020-03-22,64366.32779076760,55891
2020-03-23,66040.2998155347,55891
2020-03-24,67714.27184030180,55434
2020-03-25,69395.71695446520,55434
2020-03-26,71084.63515802490,55434
2020-03-27,72758.60718279200,55434
2020-03-28,74432.57920755910,55434
2020-03-29,76539.99041731060,55434
2020-03-30,78049.5544753595,55434
2020-03-31,79581.53780159730,54948
2020-04-01,81098.57494904250,54948
2020-04-02,82615.61209648770,54948
2020-04-03,84125.17615453660,54948
2020-04-04,85649.68639137810,54948
2020-04-05,86008.39468239960,54948
2020-04-06,85530.11696103750,54948
2020-04-07,85051.83923967550,54442
2020-04-08,84573.56151831350,54442
2020-04-09,84095.28379695140,54442
2020-04-10,83617.00607558940,54442
2020-04-11,83138.72835422740,54442
2020-04-12,81270.45600515690,54442
2020-04-13,79364.81820910510,54442
2020-04-14,77466.65350244950,53924
2020-04-15,75561.01570639770,53924
2020-04-16,73647.90482094950,53924
2020-04-17,71734.79393550140,53924
2020-04-18,69829.15613944960,53924
2020-04-19,69829.15613944960,53924
2020-04-20,69829.15613944960,53924
