appleMobility,caseFatalityRisk,confirmed,confirmedDelta,confirmedGrowthRate,country,countryCode,dateId,dayId,deceased,deceasedDelta,deceasedGrowthRate,doublingTime,googleMobility,immunizationRate,importDate,incidencePer100k,infectious,infectiousDelta,infectiousGrowthRate,recovered,recoveredDelta,recoveredGrowthRate,recoveryRate,responseStringency,tested,testedDelta,testedPer1k
94.03000000000002,0.08333333333333333,12,0,1.0,France,FR,2020-02-23,54,1,0,1.0,0.0,9.059523809523808,6.128060125339359E-8,2020-05-10T20:03:50.515,0.018384180376018078,7,0,1.0,4,0,1.0,0.3333333333333333,13.5,0,0,0.0
101.12333333333333,0.08333333333333333,12,0,1.0,France,FR,2020-02-24,55,1,0,1.0,0.0,4.607142857142857,6.128060125339359E-8,2020-05-10T20:03:51.334,0.018384180376018078,7,0,1.0,4,0,1.0,0.3333333333333333,13.5,31,0,0.0
101.57333333333334,0.07142857142857142,14,2,1.1666666666666667,France,FR,2020-02-25,56,1,0,1.0,4.49655610560192,1.3452380952380956,1.6852165344683237E-7,2020-05-10T20:03:52.153,0.021448210438687755,2,-5,0.2857142857142857,11,7,2.75,0.7857142857142857,16.67,146,115,0.002
103.83666666666666,0.1111111111111111,18,4,1.2857142857142858,France,FR,2020-02-26,57,2,1,2.0,2.758087489450393,-3.6547619047619047,1.6852165344683237E-7,2020-05-10T20:03:53.597,0.027576270564027117,5,3,2.5,11,0,1.0,0.6111111111111112,16.67,412,266,0.006
104.04333333333334,0.05263157894736842,38,20,2.111111111111111,France,FR,2020-02-27,58,2,0,1.0,0.9276416231568289,-4.5476190476190474,1.6852165344683237E-7,2020-05-10T20:03:55.022,0.05821657119072391,25,20,5.0,11,0,1.0,0.2894736842105263,16.67,851,439,0.013
116.40333333333335,0.03508771929824561,57,19,1.5,France,FR,2020-02-28,59,2,0,1.0,1.7095112913514547,-0.8809523809523808,1.6852165344683237E-7,2020-05-10T20:03:55.840,0.08732485678608587,44,19,1.76,11,0,1.0,0.19298245614035087,16.67,1316,465,0.02
118.08333333333333,0.02,100,43,1.7543859649122806,France,FR,2020-02-29,60,2,0,1.0,1.2330970514865576,-2.5,1.8384180376018077E-7,2020-05-10T20:03:56.659,0.15320150313348396,86,42,1.9545454545454546,12,1,1.0909090909090908,0.12,21.82,1902,586,0.029
82.92999999999999,0.015384615384615385,130,30,1.3,France,FR,2020-03-01,61,2,0,1.0,2.6419267958111403,0.4166666666666666,1.8384180376018077E-7,2020-05-10T20:03:57.481,0.19916195407352916,116,30,1.3488372093023255,12,0,1.0,0.09230769230769231,21.82,2451,549,0.038
89.42,0.015706806282722512,191,61,1.4692307692307693,France,FR,2020-03-02,62,3,1,1.5,1.8016037389814858,-2.535714285714286,1.8384180376018077E-7,2020-05-10T20:03:58.299,0.29261487098495437,176,60,1.5172413793103448,12,0,1.0,0.06282722513089005,21.82,2887,436,0.044
94.41000000000001,0.0196078431372549,204,13,1.068062827225131,France,FR,2020-03-03,63,4,1,1.3333333333333333,10.526702071155716,1.3333333333333337,1.8384180376018077E-7,2020-05-10T20:03:59.118,0.3125310663923073,188,12,1.0681818181818181,12,0,1.0,0.058823529411764705,27.12,3594,707,0.055
95.72666666666667,0.013888888888888888,288,84,1.411764705882353,France,FR,2020-03-04,64,4,0,1.0,2.010051627097967,-1.4761904761904763,1.8384180376018077E-7,2020-05-10T20:03:59.888,0.44122032902443387,269,81,1.4308510638297873,12,0,1.0,0.041666666666666664,27.12,4803,1209,0.074
96.87333333333333,0.015789473684210527,380,92,1.3194444444444444,France,FR,2020-03-05,65,6,2,1.5,2.5004337821997695,-4.726190476190475,1.8384180376018077E-7,2020-05-10T20:04:00.756,0.5821657119072391,359,90,1.3345724907063197,12,0,1.0,0.031578947368421054,27.12,6046,1243,0.093
107.94666666666667,0.013719512195121951,656,276,1.7263157894736842,France,FR,2020-03-06,66,9,3,1.5,1.2695246604066903,-0.119047619047619,1.8384180376018077E-7,2020-05-10T20:04:01.636,1.0050018605556548,632,273,1.7604456824512535,12,0,1.0,0.018292682926829267,29.76,7695,1649,0.118
114.83,0.011470281543274244,959,303,1.461890243902439,France,FR,2020-03-07,67,11,2,1.2222222222222223,1.825367125630467,1.7380952380952381,1.8384180376018077E-7,2020-05-10T20:04:02.496,1.4692024150501113,926,294,1.4651898734177216,12,0,1.0,0.01251303441084463,29.76,9495,1800,0.145
80.29,0.016725352112676055,1136,177,1.1845672575599584,France,FR,2020-03-08,68,19,8,1.7272727272727273,4.092320885105152,1.2976190476190477,1.8384180376018077E-7,2020-05-10T20:04:03.521,1.7403690755963779,1095,169,1.1825053995680346,12,0,1.0,0.01056338028169014,29.76,11071,1576,0.17
85.57333333333334,0.015586546349466776,1219,83,1.0730633802816902,France,FR,2020-03-09,69,19,0,1.0,9.829430761292112,0.023809523809523798,1.8384180376018077E-7,2020-05-10T20:04:04.344,1.8675263231971697,1178,83,1.075799086757991,12,0,1.0,0.009844134536505332,29.76,12667,1596,0.194
88.12333333333333,0.01839464882943144,1794,575,1.471698113207547,France,FR,2020-03-10,70,33,14,1.736842105263158,1.7937806472600089,-0.5238095238095238,1.8384180376018077E-7,2020-05-10T20:04:05.226,2.7484349662147025,1739,561,1.4762308998302207,12,0,1.0,0.006688963210702341,29.76,15018,2351,0.23
93.13,0.020933275185346708,2293,499,1.278149386845039,France,FR,2020-03-11,71,48,15,1.4545454545454546,2.8244082506895354,0.6071428571428573,1.8384180376018077E-7,2020-05-10T20:04:06.038,3.5129104668507876,2224,485,1.2788959171937895,12,0,1.0,0.005233318796336677,29.76,15018,2351,0.23
84.60333333333334,0.020933275185346708,2293,0,1.0,France,FR,2020-03-12,72,48,0,1.0,0.0,-0.34523809523809507,1.8384180376018077E-7,2020-05-10T20:04:06.919,3.5129104668507876,2224,0,1.0,12,0,1.0,0.005233318796336677,29.76,15018,2351,0.23
82.64999999999999,0.021461559358869873,3681,1388,1.6053205407762756,France,FR,2020-03-13,73,79,31,1.6458333333333333,1.4644260279029244,1.5476190476190477,1.8384180376018077E-7,2020-05-10T20:04:07.716,5.639347330343545,3576,1352,1.6079136690647482,12,0,1.0,0.0032599837000814994,42.86,15018,2351,0.23
75.82333333333334,0.020240213523131673,4496,815,1.2214072262972018,France,FR,2020-03-14,74,91,12,1.1518987341772151,3.4656725122790095,-5.3809523809523805,1.8384180376018077E-7,2020-05-10T20:04:08.493,6.887939580881439,4377,801,1.223993288590604,12,0,1.0,0.0026690391459074734,42.86,15018,2351,0.23
44.97,0.020079435127978818,4532,36,1.0080071174377223,France,FR,2020-03-15,75,91,0,1.0,86.91249413998486,-2.476190476190475,1.8384180376018077E-7,2020-05-10T20:04:09.359,6.943092122009493,4410,33,1.0075394105551747,12,0,1.0,0.00264783759929391,42.86,36747,2351,0.563
40.18,0.02229537632799641,6683,2151,1.4746248896734333,France,FR,2020-03-16,76,149,58,1.6373626373626373,1.7846052395101095,-9.88095238095238,1.8384180376018077E-7,2020-05-10T20:04:10.156,10.238456454410734,6490,2080,1.471655328798186,12,0,1.0,0.0017956007780936705,53.17,36747,2351,0.563
22.169999999999998,0.01931302657161374,7715,1032,1.1544216669160556,France,FR,2020-03-17,77,149,0,1.0,4.826947124881058,-33.44047619047619,1.8384180376018077E-7,2020-05-10T20:04:10.997,11.819495966748288,7523,1033,1.1591679506933745,12,0,1.0,0.0015554115359688917,89.41,36747,2351,0.563
17.956666666666667,0.016330556773345023,9124,1409,1.1826312378483474,France,FR,2020-03-18,78,149,0,1.0,4.132226455609366,-48.511904761904766,1.8384180376018077E-7,2020-05-10T20:04:11.916,13.978105145899077,8892,1369,1.1819752758208162,12,0,1.0,0.00131521262604121,89.41,36747,2351,0.563
17.746666666666666,0.022242479489516864,10970,1846,1.2023235423060061,France,FR,2020-03-19,79,244,95,1.6375838926174497,3.7618709508723547,-48.82142857142858,1.8384180376018077E-7,2020-05-10T20:04:12.738,16.806204893743192,10631,1739,1.1955690508322088,12,0,1.0,0.0010938924339106654,89.41,36747,2351,0.563
16.44333333333333,0.03535036839630036,12758,1788,1.162989972652689,France,FR,2020-03-20,80,451,207,1.848360655737705,4.590553438454443,-50.523809523809526,1.8384180376018077E-7,2020-05-10T20:04:13.570,19.545447769769886,12170,1539,1.1447653090019754,12,0,1.0,9.405862987929142E-4,89.41,36747,2351,0.563
13.116666666666667,0.03892691696051995,14463,1705,1.1336416366201598,France,FR,2020-03-21,81,563,112,1.2483370288248337,5.525941056945476,-55.61904761904761,1.8384180376018077E-7,2020-05-10T20:04:14.376,22.15753339819579,13734,1564,1.1285127362366474,12,0,1.0,8.297033810412777E-4,89.41,36747,2351,0.563
12.113333333333335,0.04161792772271132,16243,1780,1.1230726681877896,France,FR,2020-03-22,82,676,113,1.2007104795737122,5.971886268769681,-58.45238095238094,3.379625159124656E-5,2020-05-10T20:04:15.278,24.884520153971803,13337,-397,0.9710936362312509,2206,2194,183.83333333333334,0.13581234993535676,89.41,36747,2351,0.563
17.363333333333333,0.042836555185608506,20123,3880,1.2388721295327219,France,FR,2020-03-23,83,862,186,1.2751479289940828,3.235960194613357,-50.71428571428572,3.379625159124656E-5,2020-05-10T20:04:16.370,30.82873847555098,17054,3717,1.2786983579515634,2206,0,1.0,0.1096258013218705,89.41,36747,2351,0.563
17.39,0.04871364158783485,22622,2499,1.1241862545346122,France,FR,2020-03-24,84,1102,240,1.2784222737819027,5.92132640626043,-51.5,4.979048851838229E-5,2020-05-10T20:04:17.318,34.657244038856746,18232,1178,1.0690747038817872,3250,1044,1.473254759746147,0.1436654584033242,89.41,107546,2351,1.648
16.69333333333333,0.0520703125,25600,2978,1.1316417646538768,France,FR,2020-03-25,85,1333,231,1.2096188747731398,5.6048367900760105,-53.42857142857142,5.985582727425218E-5,2020-05-10T20:04:18.670,39.219584802171894,20360,2128,1.1167178587099604,3907,657,1.2021538461538461,0.1526171875,89.41,107546,2351,1.648
16.236666666666668,0.05745998443369091,29551,3951,1.1543359375,France,FR,2020-03-26,86,1698,365,1.2738184546136535,4.829444741665318,-52.666666666666664,7.59113448026413E-5,2020-05-10T20:04:20.880,45.27257619097585,22898,2538,1.124656188605108,4955,1048,1.2682364985922703,0.1676762207708707,89.41,107546,2351,1.648
15.976666666666667,0.059786839111430456,33402,3851,1.1303170789482588,France,FR,2020-03-27,87,1997,299,1.1760895170789163,5.658427743146027,-52.273809523809526,8.743209783827929E-5,2020-05-10T20:04:22.853,51.17236607664632,25698,2800,1.1222814219582495,5707,752,1.151765893037336,0.1708580324531465,89.41,107546,2351,1.648
14.590000000000002,0.06080566854743472,38105,4703,1.1407999520986767,France,FR,2020-03-28,88,2317,320,1.1602403605408111,5.2618887737802,-55.726190476190474,8.769254039360622E-5,2020-05-10T20:04:24.485,58.37743276901407,30064,4366,1.1698964899992217,5724,17,1.0029787979674085,0.1502165070200761,89.41,107546,2351,1.648
12.766666666666666,0.06413972683502014,40708,2603,1.0683112452434065,France,FR,2020-03-29,89,2611,294,1.1268882175226587,10.489654150999028,-61.0595238095238,1.1070340616425551E-4,2020-05-10T20:04:25.684,62.365267895578654,30871,807,1.026842735497605,7226,1502,1.2624039133473095,0.17750810651468998,89.41,107546,2351,1.648
15.933333333333332,0.0670799203010848,45170,4462,1.1096099046870394,France,FR,2020-03-30,90,3030,419,1.1604749138261203,6.664331008387952,-52.42857142857144,1.2200967709550663E-4,2020-05-10T20:04:26.974,69.20111896539471,34176,3305,1.107058404327686,7964,738,1.1021311929144755,0.17631171131281825,89.41,107546,2351,1.648
16.62333333333333,0.0668597497491813,52827,7657,1.1695151649324773,France,FR,2020-03-31,91,3532,502,1.1656765676567657,4.426530393438205,-50.797619047619044,1.457405899308833E-4,2020-05-10T20:04:28.016,80.93175806032558,39782,5606,1.1640332397003745,9513,1549,1.1945002511300853,0.18007836901584418,89.41,224254,2351,3.436
16.82,0.07643422396924622,57749,4922,1.0931720521702917,France,FR,2020-04-01,92,4414,882,1.2497168742921858,7.780860966078304,-51.55952380952382,1.6933362141343983E-4,2020-05-10T20:04:29.154,88.47233604455566,42653,2871,1.0721683173294454,11053,1540,1.1618837380426785,0.19139725363209753,89.41,224254,2351,3.436
16.886666666666667,0.09007325334979727,59929,2180,1.0377495714211502,France,FR,2020-04-02,93,5398,984,1.2229270502945175,18.706156466669572,-50.70238095238094,1.9223724613189568E-4,2020-05-10T20:04:30.190,91.81212881286561,41983,-670,0.9842918434811151,12548,1495,1.135257396182032,0.20938110096948057,89.41,224254,2351,3.436
16.73,0.09999693260942916,65202,5273,1.0879874518179846,France,FR,2020-04-03,94,6520,1122,1.207854761022601,8.219498922670475,-50.261904761904766,2.1655032467917957E-4,2020-05-10T20:04:31.109,99.89044407309422,44547,2564,1.0610723388038015,14135,1587,1.1264743385400064,0.21678782859421492,89.41,224254,2351,3.436
15.116666666666665,0.10897841726618705,69500,4298,1.0659182233673814,France,FR,2020-04-04,95,7574,1054,1.1616564417177915,10.858145327164257,-52.85714285714286,2.3856538067946122E-4,2020-05-10T20:04:31.994,106.47504467777136,67702,23155,1.5197880889846678,15572,1437,1.1016625397948354,0.22405755395683452,89.41,224254,2351,3.436
15.103333333333333,0.113328292163782,71412,1912,1.0275107913669064,France,FR,2020-04-05,96,8093,519,1.0685238975442302,25.540470973342195,-56.0,2.5046913747293296E-4,2020-05-10T20:04:33.662,109.40425741768358,69331,1629,1.0240613275826416,16349,777,1.04989725147701,0.22893911387441887,89.41,224254,2351,3.436
